resolution_minutes,fold,model,c_value,term,standardized_coefficient
1,8,m1,0.01,coherence_15m,0.00957809971167
1,8,m1,0.01,coherence_30m,0.0309848485195
1,8,m1,0.01,coherence_60m,0.112797346615
1,8,m1,0.01,common_direction,-0.0232508383011
1,8,m1,0.01,joint_intensity,0.0381278976085
1,8,m1,0.01,magnitude_balance,-0.0610736390227
1,8,m1,0.01,absolute_magnitude_balance,-0.0183403070276
1,8,m1,0.01,intercept,0.652888666323
1,9,m0,0.01,coherence_15m,0.00551866020048
1,9,m0,0.01,coherence_30m,0.0404562883528
1,9,m0,0.01,coherence_60m,0.122509817599
1,9,m0,0.01,common_direction,-0.0230216395828
1,9,m0,0.01,intercept,0.64184491009
1,9,m1,0.01,coherence_15m,0.00396926542734
1,9,m1,0.01,coherence_30m,0.0390355050999
1,9,m1,0.01,coherence_60m,0.106631875298
1,9,m1,0.01,common_direction,-0.0222460232963
1,9,m1,0.01,joint_intensity,0.0433553357731
1,9,m1,0.01,magnitude_balance,-0.0579846138413
1,9,m1,0.01,absolute_magnitude_balance,-0.0163260721583
1,9,m1,0.01,intercept,0.642808961761
1,10,m0,0.01,coherence_15m,0.00449945511211
1,10,m0,0.01,coherence_30m,0.0405841089432
1,10,m0,0.01,coherence_60m,0.120309493769
1,10,m0,0.01,common_direction,-0.0217407596103
1,10,m0,0.01,intercept,0.646902106475
1,10,m1,0.01,coherence_15m,0.00207706489071
1,10,m1,0.01,coherence_30m,0.0400358045944
1,10,m1,0.01,coherence_60m,0.104516400113
1,10,m1,0.01,common_direction,-0.0209096707096
1,10,m1,0.01,joint_intensity,0.0451955191784
1,10,m1,0.01,magnitude_balance,-0.0555427789805
1,10,m1,0.01,absolute_magnitude_balance,-0.0136757651975
1,10,m1,0.01,intercept,0.647652741378
1,11,m0,0.01,coherence_15m,0.00167492016893
1,11,m0,0.01,coherence_30m,0.042859558634
1,11,m0,0.01,coherence_60m,0.119996129156
1,11,m0,0.01,common_direction,-0.021712464924
1,11,m0,0.01,intercept,0.657592211168
1,11,m1,0.01,coherence_15m,0.00187630393524
1,11,m1,0.01,coherence_30m,0.038995081515
1,11,m1,0.01,coherence_60m,0.106020438798
1,11,m1,0.01,common_direction,-0.0208702188235
1,11,m1,0.01,joint_intensity,0.0419878216221
1,11,m1,0.01,magnitude_balance,-0.0564216198503
1,11,m1,0.01,absolute_magnitude_balance,-0.0127054752345
1,11,m1,0.01,intercept,0.658650579271
