trial_id,run_id,resolution_minutes,outer_fold,model,c_value,inner_fold_count,inner_event_count,inner_oof_brier,inner_fold_brier_json,selected
f553ac1d9f67cbb2,fd436f33a3bfef1e,1,1,m0,0.01,3,16719,0.221373584035,"[0.23260141723684938, 0.22952609934790705, 0.2048128886013317]",False
25f06ca6c0cd9ecd,fd436f33a3bfef1e,1,1,m0,0.1,3,16719,0.221362603235,"[0.23259630168559778, 0.22952170329851895, 0.2047911808245728]",False
cc00d52a35f68205,fd436f33a3bfef1e,1,1,m0,1,3,16719,0.221361473683,"[0.23259579217578008, 0.2295212377102223, 0.20478894596178804]",False
fe413228adce60cf,fd436f33a3bfef1e,1,1,m0,10,3,16719,0.221361360396,"[0.23259574125330668, 0.2295211908652239, 0.2047887218035775]",True
b1feafed6f88ef42,fd436f33a3bfef1e,1,1,m1,0.01,3,16719,0.221076873746,"[0.2323831045167953, 0.22913184376519719, 0.20453840631928538]",False
0bec76f0471e980a,fd436f33a3bfef1e,1,1,m1,0.1,3,16719,0.221066101101,"[0.2323784684790206, 0.22912153147547135, 0.20452214823579296]",False
735aac4bd3a20a60,fd436f33a3bfef1e,1,1,m1,1,3,16719,0.22106503335,"[0.23237802251294, 0.22912084077802364, 0.20452022979330856]",False
84b3502e833216ba,fd436f33a3bfef1e,1,1,m1,10,3,16719,0.22106492643,"[0.23237797810718336, 0.22912077153017615, 0.20452003755646847]",True
56049467e6e3d4fa,fd436f33a3bfef1e,1,2,m0,0.01,3,17852,0.209969728149,"[0.22952609934790705, 0.2048128886013317, 0.1978092714602782]",False
6645ffd1ef18eb73,fd436f33a3bfef1e,1,2,m0,0.1,3,17852,0.209953020773,"[0.22952170329851895, 0.2047911808245728, 0.1977866432569261]",False
7fb88539fecbbbbb,fd436f33a3bfef1e,1,2,m0,1,3,17852,0.209951210063,"[0.2295212377102223, 0.20478894596178804, 0.1977840648157833]",False
a66c6a07eb1c5da5,fd436f33a3bfef1e,1,2,m0,10,3,17852,0.209951043117,"[0.2295211908652239, 0.2047887218035775, 0.1977838484473676]",True
fb3c3241ffea3c81,fd436f33a3bfef1e,1,2,m1,0.01,3,17852,0.209531619803,"[0.22913184376519719, 0.20453840631928538, 0.1971706494971468]",False
f3f48421c7702ade,fd436f33a3bfef1e,1,2,m1,0.1,3,17852,0.209515504375,"[0.22912153147547135, 0.20452214823579296, 0.1971495534100473]",False
c784466b8f0ad1b9,fd436f33a3bfef1e,1,2,m1,1,3,17852,0.209513899389,"[0.22912084077802364, 0.20452022979330856, 0.19714745146785267]",False
27713f5e9451793a,fd436f33a3bfef1e,1,2,m1,10,3,17852,0.209513738734,"[0.22912077153017615, 0.20452003755646847, 0.19714724137055484]",True
f371c15728b5d625,fd436f33a3bfef1e,1,3,m0,0.01,3,17790,0.211056989308,"[0.2048128886013317, 0.1978092714602782, 0.23331501566962493]",False
7399c04f60f0c227,fd436f33a3bfef1e,1,3,m0,0.1,3,17790,0.211044482865,"[0.2047911808245728, 0.1977866432569261, 0.23332453628107616]",False
e0a80f12cf64afcd,fd436f33a3bfef1e,1,3,m0,1,3,17790,0.211043116302,"[0.20478894596178804, 0.1977840648157833, 0.23332554253918453]",False
8fd8a0b3a31ce67f,fd436f33a3bfef1e,1,3,m0,10,3,17790,0.211042994088,"[0.2047887218035775, 0.1977838484473676, 0.23332564375534987]",True
99f6c0b8257eeaef,fd436f33a3bfef1e,1,3,m1,0.01,3,17790,0.210571983711,"[0.20453840631928538, 0.1971706494971468, 0.23276747285590466]",False
782cea1e97774103,fd436f33a3bfef1e,1,3,m1,0.1,3,17790,0.210561469001,"[0.20452214823579296, 0.1971495534100473, 0.23277559310919307]",False
8641feeef94b165e,fd436f33a3bfef1e,1,3,m1,1,3,17790,0.210560336483,"[0.20452022979330856, 0.19714745146785267, 0.23277646221134096]",False
64969492e0a75386,fd436f33a3bfef1e,1,3,m1,10,3,17790,0.210560223317,"[0.20452003755646847, 0.19714724137055484, 0.23277654973352827]",True
de3546f7da071bbd,fd436f33a3bfef1e,1,4,m0,0.01,3,16757,0.221054420283,"[0.1978092714602782, 0.23331501566962493, 0.23630395308096924]",False
