trial_id,run_id,resolution_minutes,outer_fold,model,alpha,inner_fold_count,inner_event_count,inner_oof_mean_squared_error,inner_fold_mse_json,selected
220bd74b9671a213,0879361214fdad9f,5,14,nq_only,10,3,6748,22.4560393954,"[12.381880593270639, 20.79505306334256, 33.54171719435573]",False
c4f51c5aacd41233,0879361214fdad9f,5,14,nq_only,100,3,6748,22.4557485688,"[12.381568932510332, 20.795155543339877, 33.54107480101082]",False
8ae24ee0256c819f,0879361214fdad9f,5,14,nq_only,1000,3,6748,22.4533082294,"[12.378897020078313, 20.79619683302653, 33.5355668629632]",True
effcfdd1f5d1c4dc,0879361214fdad9f,5,14,cross_market,0.01,3,6748,22.429236688,"[12.323142146037563, 20.796357844797573, 33.518555396600334]",False
ef0cb1553d3a763e,0879361214fdad9f,5,14,cross_market,0.1,3,6748,22.4292364339,"[12.32314185063502, 20.79636036252767, 33.518552565247106]",False
5e98a31811f472ed,0879361214fdad9f,5,14,cross_market,1,3,6748,22.4292338998,"[12.323138902288953, 20.796385527345457, 33.51852427694918]",False
9168af34c463ffea,0879361214fdad9f,5,14,cross_market,10,3,6748,22.4292092009,"[12.323109978942464, 20.79663593207564, 33.51824389298977]",False
0b6d9d71256b61a9,0879361214fdad9f,5,14,cross_market,100,3,6748,22.4290179666,"[12.32286975527685, 20.799020448841492, 33.51566763661049]",False
4d06fbb03dc25740,0879361214fdad9f,5,14,cross_market,1000,3,6748,22.4289685394,"[12.322285065186305, 20.814667163814896, 33.5013079917318]",True
23fb58c5a943b5a2,0879361214fdad9f,5,15,nq_only,0.01,3,6941,49.4186204055,"[20.79504172491157, 33.54178967961931, 91.16998189138216]",False
58516cfebedc95fd,0879361214fdad9f,5,15,nq_only,0.1,3,6941,49.4186195131,"[20.795041827024733, 33.54178902553122, 91.16997985327575]",False
6325f12c88253098,0879361214fdad9f,5,15,nq_only,1,3,6941,49.4186105902,"[20.79504284819141, 33.5417824857194, 91.16995947478769]",False
