resolution_minutes,fold,model,alpha,term,coefficient_bps_per_feature_sd
5,8,nq_only,1000,nq_aligned_momentum_15m,-0.0967333175525
5,8,nq_only,1000,nq_aligned_momentum_30m,0.273193692279
5,8,nq_only,1000,nq_aligned_momentum_60m,-0.125939256272
5,8,nq_only,1000,session_sin_1,-0.0208394189344
5,8,nq_only,1000,session_cos_1,0.0363437473409
5,8,nq_only,1000,session_sin_2,0.00503204187058
5,8,nq_only,1000,session_cos_2,0.0280773522046
5,8,nq_only,1000,weekday_tuesday,0.0565924411104
5,8,nq_only,1000,weekday_wednesday,-0.0121480907469
5,8,nq_only,1000,weekday_thursday,-0.0119089049647
5,8,nq_only,1000,weekday_friday,-0.0353805845922
5,8,nq_only,1000,intercept,0.0353763579862
5,8,cross_market,1000,nq_direction,-0.00403090748775
5,8,cross_market,1000,nq_magnitude,-0.296116441073
5,8,cross_market,1000,nq_aligned_momentum_5m,-0.232727657308
5,8,cross_market,1000,nq_aligned_momentum_15m,-0.0962053597436
5,8,cross_market,1000,nq_aligned_momentum_30m,0.290856087343
5,8,cross_market,1000,nq_aligned_momentum_60m,-0.14963686569
5,8,cross_market,1000,session_sin_1,-0.0187141289479
5,8,cross_market,1000,session_cos_1,0.0365542728516
5,8,cross_market,1000,session_sin_2,-0.000838877610531
5,8,cross_market,1000,session_cos_2,0.0262193151762
5,8,cross_market,1000,weekday_tuesday,0.0609318850406
5,8,cross_market,1000,weekday_wednesday,-0.00181808171386
5,8,cross_market,1000,weekday_thursday,-0.00284931146327
5,8,cross_market,1000,weekday_friday,-0.0286774267712
5,8,cross_market,1000,btc_magnitude,-0.0953339993415
5,8,cross_market,1000,btc_aligned_momentum_5m,-0.00110509180508
5,8,cross_market,1000,btc_aligned_momentum_15m,-0.0131409885303
5,8,cross_market,1000,btc_aligned_momentum_30m,-0.0640124267925
5,8,cross_market,1000,btc_aligned_momentum_60m,0.0931543964619
5,8,cross_market,1000,coherence_15m,0.017867349272
5,8,cross_market,1000,coherence_30m,-0.0557782424317
5,8,cross_market,1000,coherence_60m,0.0283021543897
5,8,cross_market,1000,joint_intensity,0.505318390469
5,8,cross_market,1000,magnitude_balance,-0.115745173272
5,8,cross_market,1000,absolute_magnitude_balance,0.019116259336
5,8,cross_market,1000,intercept,0.0353763579862
5,9,nq_only,1000,nq_direction,0.000712320911171
5,9,nq_only,1000,nq_magnitude,0.0235221043988
5,9,nq_only,1000,nq_aligned_momentum_5m,-0.119872486257
5,9,nq_only,1000,nq_aligned_momentum_15m,-0.0930982019913
5,9,nq_only,1000,nq_aligned_momentum_30m,0.263763790755
5,9,nq_only,1000,nq_aligned_momentum_60m,-0.122356524342
5,9,nq_only,1000,session_sin_1,-0.0159515020315
5,9,nq_only,1000,session_cos_1,0.0393813757398
5,9,nq_only,1000,session_sin_2,0.00778976792363
5,9,nq_only,1000,session_cos_2,0.0288215319951
5,9,nq_only,1000,weekday_tuesday,0.0559479347845
5,9,nq_only,1000,weekday_wednesday,-0.0128447737664
5,9,nq_only,1000,weekday_thursday,-0.00817273647917
5,9,nq_only,1000,weekday_friday,-0.0329660779365
5,9,nq_only,1000,intercept,0.0387405647591
5,9,cross_market,0.01,nq_direction,-0.00224862246175
5,9,cross_market,0.01,nq_magnitude,-0.498325125358
5,9,cross_market,0.01,nq_aligned_momentum_5m,-0.266594341487
5,9,cross_market,0.01,nq_aligned_momentum_15m,-0.111071678704
5,9,cross_market,0.01,nq_aligned_momentum_30m,0.325741962387
5,9,cross_market,0.01,nq_aligned_momentum_60m,-0.169838555736
5,9,cross_market,0.01,session_sin_1,-0.0140133398838
5,9,cross_market,0.01,session_cos_1,0.0414823451801
5,9,cross_market,0.01,session_sin_2,0.00200214703291
5,9,cross_market,0.01,session_cos_2,0.0271747671392
5,9,cross_market,0.01,weekday_tuesday,0.0630788888833
5,9,cross_market,0.01,weekday_wednesday,-0.00130297853806
5,9,cross_market,0.01,weekday_thursday,0.00145888095248
5,9,cross_market,0.01,weekday_friday,-0.0249634748152
5,9,cross_market,0.01,btc_magnitude,-0.296313397444
5,9,cross_market,0.01,btc_aligned_momentum_5m,0.0113825971598
5,9,cross_market,0.01,btc_aligned_momentum_15m,0.00136580717833
5,9,cross_market,0.01,btc_aligned_momentum_30m,-0.0836155432015
5,9,cross_market,0.01,btc_aligned_momentum_60m,0.106941252187
5,9,cross_market,0.01,coherence_15m,0.0147640771671
5,9,cross_market,0.01,coherence_30m,-0.0568473805697
5,9,cross_market,0.01,coherence_60m,0.0375579397995
5,9,cross_market,0.01,joint_intensity,0.841056866325
5,9,cross_market,0.01,magnitude_balance,-0.10635752682
5,9,cross_market,0.01,absolute_magnitude_balance,0.0958603432748
5,9,cross_market,0.01,intercept,0.0387405647591
5,10,nq_only,1000,nq_direction,0.00258486603902
5,10,nq_only,1000,nq_magnitude,0.00255142480079
5,10,nq_only,1000,nq_aligned_momentum_5m,-0.104165823896
5,10,nq_only,1000,nq_aligned_momentum_15m,-0.0899481277964
5,10,nq_only,1000,nq_aligned_momentum_30m,0.255956354912
5,10,nq_only,1000,nq_aligned_momentum_60m,-0.116239257969
5,10,nq_only,1000,session_sin_1,-0.0118455375293
5,10,nq_only,1000,session_cos_1,0.0317747563893
5,10,nq_only,1000,session_sin_2,0.0100211231083
5,10,nq_only,1000,session_cos_2,0.0364660692003
5,10,nq_only,1000,weekday_tuesday,0.0534823175724
5,10,nq_only,1000,weekday_wednesday,-0.0133411997861
5,10,nq_only,1000,weekday_thursday,-0.00344003975853
5,10,nq_only,1000,weekday_friday,-0.033569496032
5,10,nq_only,1000,intercept,0.0529475447572
5,10,cross_market,1000,nq_direction,0.000380565995753
5,10,cross_market,1000,nq_magnitude,-0.2695872217
5,10,cross_market,1000,nq_aligned_momentum_5m,-0.194196454151
5,10,cross_market,1000,nq_aligned_momentum_15m,-0.0871371907849
5,10,cross_market,1000,nq_aligned_momentum_30m,0.267944084762
5,10,cross_market,1000,nq_aligned_momentum_60m,-0.139813237974
5,10,cross_market,1000,session_sin_1,-0.0104947938617
5,10,cross_market,1000,session_cos_1,0.0324453620718
5,10,cross_market,1000,session_sin_2,0.00635270832198
5,10,cross_market,1000,session_cos_2,0.0350661642754
5,10,cross_market,1000,weekday_tuesday,0.0571002175409
5,10,cross_market,1000,weekday_wednesday,-0.00512648037729
5,10,cross_market,1000,weekday_thursday,0.00219391867515
5,10,cross_market,1000,weekday_friday,-0.0281999408042
5,10,cross_market,1000,btc_magnitude,-0.0557904714587
5,10,cross_market,1000,btc_aligned_momentum_5m,0.00785928322646
5,10,cross_market,1000,btc_aligned_momentum_15m,-0.0158125815369
5,10,cross_market,1000,btc_aligned_momentum_30m,-0.0385829254675
5,10,cross_market,1000,btc_aligned_momentum_60m,0.0835546023602
5,10,cross_market,1000,coherence_15m,0.00841866762537
5,10,cross_market,1000,coherence_30m,-0.0418606901062
5,10,cross_market,1000,coherence_60m,0.0305496180041
5,10,cross_market,1000,joint_intensity,0.39972054008
5,10,cross_market,1000,magnitude_balance,-0.124508067865
5,10,cross_market,1000,absolute_magnitude_balance,0.00905720495682
5,10,cross_market,1000,intercept,0.0529475447572
5,11,nq_only,1000,nq_direction,-0.00597266824909
5,11,nq_only,1000,nq_magnitude,0.0144583352045
5,11,nq_only,1000,nq_aligned_momentum_5m,-0.0832307466494
5,11,nq_only,1000,nq_aligned_momentum_15m,-0.110094376434
5,11,nq_only,1000,nq_aligned_momentum_30m,0.245570020434
5,11,nq_only,1000,nq_aligned_momentum_60m,-0.116234530118
5,11,nq_only,1000,session_sin_1,-0.0081253357303
5,11,nq_only,1000,session_cos_1,0.0202272313701
5,11,nq_only,1000,session_sin_2,0.00851265513063
5,11,nq_only,1000,session_cos_2,0.0401523004097
5,11,nq_only,1000,weekday_tuesday,0.0525833597331
5,11,nq_only,1000,weekday_wednesday,-0.00414850082602
5,11,nq_only,1000,weekday_thursday,0.00198519815436
5,11,nq_only,1000,weekday_friday,-0.0346167772748
