resolution_minutes,fold,model,alpha,term,coefficient_bps_per_feature_sd
5,6,cross_market,1000,weekday_tuesday,0.124628061635
5,6,cross_market,1000,weekday_wednesday,0.230897185528
5,6,cross_market,1000,weekday_thursday,-0.00422946896154
5,6,cross_market,1000,weekday_friday,-0.175077599891
5,6,cross_market,1000,btc_magnitude,0.258172421399
5,6,cross_market,1000,btc_aligned_momentum_5m,-0.317530946924
5,6,cross_market,1000,btc_aligned_momentum_15m,0.031145804223
5,6,cross_market,1000,btc_aligned_momentum_30m,0.0174650818671
5,6,cross_market,1000,btc_aligned_momentum_60m,-0.0350474107834
5,6,cross_market,1000,coherence_15m,0.0326790299336
5,6,cross_market,1000,coherence_30m,-0.0234832340404
5,6,cross_market,1000,coherence_60m,0.0308491350544
5,6,cross_market,1000,joint_intensity,-0.455335997446
5,6,cross_market,1000,magnitude_balance,0.217060856113
5,6,cross_market,1000,absolute_magnitude_balance,-0.098348199873
5,6,cross_market,1000,intercept,-0.179634590119
5,7,nq_only,1000,nq_direction,0.00121376851218
5,7,nq_only,1000,nq_magnitude,0.386658643958
5,7,nq_only,1000,nq_aligned_momentum_5m,-0.665091846919
5,7,nq_only,1000,nq_aligned_momentum_15m,0.791670507125
5,7,nq_only,1000,nq_aligned_momentum_30m,-0.881969071941
5,7,nq_only,1000,nq_aligned_momentum_60m,0.840285639919
5,7,nq_only,1000,session_sin_1,-0.0730163066147
5,7,nq_only,1000,session_cos_1,-0.0557313561985
5,7,nq_only,1000,session_sin_2,0.0147979008493
5,7,nq_only,1000,session_cos_2,0.116311381627
5,7,nq_only,1000,weekday_tuesday,0.0926228055755
5,7,nq_only,1000,weekday_wednesday,0.202795952648
5,7,nq_only,1000,weekday_thursday,0.125086537067
5,7,nq_only,1000,weekday_friday,-0.160890183186
5,7,nq_only,1000,intercept,-0.124062017903
5,7,cross_market,1000,nq_direction,0.00248371983611
5,7,cross_market,1000,nq_magnitude,0.678613144127
5,7,cross_market,1000,nq_aligned_momentum_5m,-0.517240364399
